,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1747,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS/WINDOWS,Construction,PNS,PNS,PNS,PNS,9710335,9710335,139596,"DSF: 0000797012, 0000842105, 0000842108, 0000844686, 0000844687"
1748,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS/WINDOWS,"CM, F&E",PNS,PNS,PNS,PNS,808009,808009,49214,"DSF: 0000797012, 0000842105, 0000842108, 0000844686, 0000844687"
1749,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,BOILER/CLIMATE CONTROL/WATER INFILTRATION,Scope,Complete,11/7/14,4/14/15,5/8/15,131508,152187,152187,"DSF: 0000820176, 0000822170, 0000822172"
1750,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,BOILER/CLIMATE CONTROL/WATER INFILTRATION,Design,Complete,6/9/15,11/9/15,12/16/15,523475,457115,409527,"DSF: 0000820176, 0000822170, 0000822172"
1751,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,BOILER/CLIMATE CONTROL/WATER INFILTRATION,Construction,In-Progress,7/18/16,7/17/18,,9585989,8978658,5317541,"DSF: 0000820176, 0000822170, 0000822172"
1752,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,BOILER/CLIMATE CONTROL/WATER INFILTRATION,"CM, F&E",In-Progress,7/18/16,7/17/18,,646897,363596,359535,"DSF: 0000820176, 0000822170, 0000822172"
1753,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,9/15/17,1/19/18,10/18/17,14169,1269,1269,DSF: 0000867077
1754,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,10/18/17,4/17/18,,51952,51952,5077,DSF: 0000867077
1755,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,550216,550216,125,DSF: 0000867077
1756,12,X420,MONROE ACAD FOR VISUAL ARTS -,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,197333,197333,2276,DSF: 0000867077
1757,12,X420,SCHOOL BASED HEALTH CENTER - B,SCA IEH,IEH PO18-2ND FL GYM LOCKER RM,Construction,Complete,8/24/17,IEH,12/24/17,IEH,24414,3216,DSF: 0000048350
1758,12,X420,SCHOOL BASED HEALTH CENTER - B,SCA IEH,"IEH PO18-BASEMENT COMMON HALLWAY BY THE STAIRS,THE",Construction,In-Progress,12/28/17,IEH,,IEH,0,0,DSF: 0000049965
1759,12,X420,THE METROPOLITAN SOUNDVIEW HIG,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,5372,0,DSF: 0000777198
1760,12,X420,JAMES MONROE HS,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,7/27/16,DOEL,7/27/16,DOEL,350,350,DSF:
1761,12,X420,JAMES MONROE H.S.,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,6/1/17,DOEL,7/26/17,DOEL,372,372,DSF:
1762,12,X423,THE CINEMA SCHOOL - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/26/17,1/15/18,7/5/17,50000,49621,49621,DSF: 0000844617
1763,12,X423,I.S. 242 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,9/25/17,10/25/17,11/14/17,190000,190000,188573,DSF: 0000845337
1764,12,X423,THE CINEMA SCHOOL - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/26/17,1/15/18,7/5/17,125000,124063,124063,DSF: 0000845342
1765,13,K003,P.S. 3 - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,7/2/14,12/4/14,8/12/14,87177,59774,59774,"DSF: 0000798244, 0000798245"
1766,13,K003,P.S. 3 - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,9/2/14,2/5/15,1/28/15,348708,137367,137367,"DSF: 0000798244, 0000798245"
1767,13,K003,P.S. 3 - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,Complete,2/26/16,8/18/17,8/18/17,6538275,6049631,5736006,"DSF: 0000798244, 0000798245"
1768,13,K003,P.S. 3 - BROOKLYN,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",Complete,2/26/16,8/18/17,8/18/17,406826,352085,351583,"DSF: 0000798244, 0000798245"
1769,13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866686
1770,13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866686
1771,13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000866686
1772,13,K003,P.S. 3 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866686
1773,13,K003,P.S. 3 - BROOKLYN,SCA IEH,IEH PO18-RM 202 RIGHT SIDE FROM ENTRANCE,Construction,In-Progress,9/25/17,IEH,,IEH,17360,4246,DSF: 0000048765
1774,13,K008,P.S. 5 - BROOKLYN,DOE- RESOA,FY18 RESO A LOCKERS,Construction,PNS,PNS,PNS,PNS,115000,115000,0,DSF: 0000867362
1775,13,K009,P.S. 9 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867254
1776,13,K009,P.S. 9 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000867254
1777,13,K009,P.S. 9 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000,0,DSF: 0000867254
1778,13,K009,P.S. 9 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000867254
1779,13,K009,P.S. 9 - BROOKLYN,DCAS/NYPA,HIGH EFFICIENCY LIGHTING SYSTEM,Construction,Complete,5/26/15,5/26/17,5/26/17,153567,153567,153567,DSF:
1780,13,K009,P.S. 9 - BROOKLYN,DOE- RESOA,FY15 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,75000,75000,0,DSF: 0000800416
1781,13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/12/17,8/11/17,7/18/17,0,14463,1277,DSF: 0000822741
1782,13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,12000,22240,5798,DSF: 0000822741
1783,13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,176000,538316,5693,DSF: 0000822741
1784,13,K011,P.S. 11 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,12000,36703,1618,DSF: 0000822741
1785,13,K011,P.S. 11 - BROOKLYN,SCA IEH,"IEH PO18-RMS K208 (LIBRARY), K104, K102",Construction,In-Progress,6/6/17,IEH,,IEH,89314,5372,DSF: 0000047188
1786,13,K011,P.S. 011 PURVIS J. BEHAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/14/17,1/13/18,,100000,99247,99247,DSF: 0000845093
1787,13,K011,P.S. 11 - BROOKLYN,DOE- RESOA,FY17 RESO A COMPUTER LAB UPGRADE,Construction,In-Progress,7/20/17,DOER,,155000,155000,141704,DSF: 0000844333
1788,13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867286
1789,13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000867286
1790,13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,88000,88000,0,DSF: 0000867286
1791,13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000867286
1792,13,K020,P.S. 20 - BROOKLYN,DOE- RESOA,FY17 RESO A LEARNING WALLS,Construction,In-Progress,5/30/17,DOER,,46346,46346,46346,DSF: 0000845090
1793,13,K020,P.S. 20 - BROOKLYN,DOE - Skilled Trades,VACUUM PUMP SYSTEM REPLACEMENT/CHEM,Construction,In-Progress,6/30/16,DOES,,DOES,87093,87093,DSF: 0000824038
1794,13,K020,P.S. 20 - BROOKLYN,DOE - Skilled Trades,REPLACE (2) SEWAGE EJECTOR PUMPS,Construction,In-Progress,12/23/16,DOES,,DOES,80309,0,DSF: 0000846039
1795,13,K044,P.S. 44 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,Scope,Complete,11/2/10,11/17/15,8/28/15,94978,144889,139846,"DSF: 0000710245, 0000710254, 0000801839"
1796,13,K044,P.S. 44 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,Design,Complete,9/9/15,3/16/16,11/19/15,375219,506717,483730,"DSF: 0000710245, 0000710254, 0000801839"
1797,13,K044,P.S. 44 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,Construction,Complete,7/11/16,10/3/17,10/3/17,6614411,6255920,4352285,"DSF: 0000710245, 0000710254, 0000801839"
1798,13,K044,P.S. 44 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,"CM, F&E",Complete,7/11/16,10/3/17,10/3/17,504200,349982,349982,"DSF: 0000710245, 0000710254, 0000801839"
1799,13,K044,P.S. 44 - BROOKLYN,SCA CIP RESOA,FY13 RESO A SCIENCE LAB UPGRADES,Scope,Complete,12/7/12,1/28/13,2/28/13,0,17357,17357,DSF: 0000754616
1800,13,K044,P.S. 44 - BROOKLYN,SCA CIP RESOA,FY13 RESO A SCIENCE LAB UPGRADES,Design,Complete,10/31/14,4/7/15,3/12/15,65580,114455,75473,DSF: 0000754616
1801,13,K044,P.S. 44 - BROOKLYN,SCA CIP RESOA,FY13 RESO A SCIENCE LAB UPGRADES,Construction,Complete,6/28/17,3/24/18,12/15/17,961840,452557,277581,DSF: 0000754616
1802,13,K044,P.S. 44 - BROOKLYN,SCA CIP RESOA,FY13 RESO A SCIENCE LAB UPGRADES,"CM, F&E",Complete,6/28/17,3/24/18,12/15/17,73027,51637,25516,DSF: 0000754616
1803,13,K044,P.S. 44 - BROOKLYN,SCA IEH,"IEH PO18-CLASSROOMS 312,313,315,316,328,330",Construction,In-Progress,4/5/17,IEH,,IEH,130747,5270,DSF: 0000046109
1804,13,K046,P.S. 46 - BROOKLYN,SCA CIP,AUDITORIUM UPGRADE,Scope,Complete,5/12/15,9/11/15,9/25/15,20688,15265,7296,DSF: 0000821818
1805,13,K046,P.S. 46 - BROOKLYN,SCA CIP,AUDITORIUM UPGRADE,Design,Complete,10/14/15,3/18/16,6/30/16,75856,75008,63361,DSF: 0000821818
1806,13,K046,P.S. 46 - BROOKLYN,SCA CIP,AUDITORIUM UPGRADE,Construction,Complete,1/5/17,9/1/17,9/28/17,803384,725153,625580,DSF: 0000821818
1807,13,K046,P.S. 46 - BROOKLYN,SCA CIP,AUDITORIUM UPGRADE,"CM, F&E",Complete,1/5/17,9/1/17,9/28/17,186192,102673,101863,DSF: 0000821818
1808,13,K046,P.S. 46 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/17,1/15/18,8/10/17,50000,49623,49623,DSF: 0000845089
1809,13,K054,P.S. 54 - BROOKLYN,SCA IEH,IEH PO18-1ST FLR CAFETERIA RM 500,Construction,Complete,5/15/17,IEH,7/15/17,IEH,7877,2154,DSF: 0000046752
1810,13,K054,P.S. 54 - BROOKLYN,SCA IEH,"IEH PO18-RMS 405, PRE-K CLASSROOMS 305,205",Construction,Complete,7/25/17,IEH,7/26/17,IEH,14894,594,DSF: 0000047805
1811,13,K054,P.S. 54 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/7/17,7/7/17,9/18/17,150000,148874,148874,DSF: 0000844359
1812,13,K054,P.S. 54 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,8/21/17,DOEL,,DOEL,800,0,DSF:
1813,13,K054,P.S. 54 - BROOKLYN,DOE - Skilled Trades,VACUUM PUMP SET REPLACEMENT,Construction,In-Progress,5/4/16,DOES,,DOES,61674,61674,DSF: 0000824489
1814,13,K056,I.S. 351 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866389
1815,13,K056,I.S. 351 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,120000,120000,0,DSF: 0000866389
1816,13,K056,I.S. 351 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,1760000,1760000,0,DSF: 0000866389
1817,13,K056,I.S. 351 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,120000,120000,0,DSF: 0000866389
1818,13,K056,P.S. 56 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867363
1819,13,K056,P.S. 56 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,2340,2340,0,DSF: 0000867363
1820,13,K056,P.S. 56 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,34320,34320,0,DSF: 0000867363
1821,13,K056,P.S. 56 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,2340,2340,0,DSF: 0000867363
1822,13,K056,P.S. 56 - BROOKLYN,SCA IEH,"IEH PO18-STAIRCASES A&B,C&D,E&F",Construction,In-Progress,3/7/17,IEH,,IEH,64525,4810,DSF: 0000045568
1823,13,K056,P.S. 56 - BROOKLYN,SCA IEH,"IEH PO18-RMS 324,326,328,323,311,310",Construction,In-Progress,8/14/17,IEH,,IEH,128402,1684,DSF: 0000048185
1824,13,K056,P.S. 56 - BROOKLYN,SCA IEH,"IEH PO18-RMS 230,309,307,308,305",Construction,In-Progress,10/5/17,IEH,,IEH,97799,850,DSF: 0000048870
1825,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867232
1826,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,32580,32580,0,DSF: 0000867232
1827,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,477840,477840,0,DSF: 0000867232
1828,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,32580,32580,0,DSF: 0000867232
1829,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867239
1830,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867239
1831,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867239
1832,13,K067,P.S. 67 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867239
1833,13,K067,P.S. 67 - BROOKLYN,DOE- RESOA,FY15 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,7/12/17,DOER,,180777,185708,185708,DSF: 0000800372
1834,13,K085,K753 SPED - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,Scope,Complete,1/18/13,4/19/13,3/22/13,26820,23675,23675,"DSF: 0000733730, 0000779019"
1835,13,K085,K753 SPED - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,Design,Complete,4/17/13,10/18/13,11/14/13,98340,109879,109879,"DSF: 0000733730, 0000779019"
1836,13,K085,K753 SPED - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,Construction,In-Progress,12/8/14,12/7/15,,1041510,1087490,1017629,"DSF: 0000733730, 0000779019"
1837,13,K085,K753 SPED - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,"CM, F&E",In-Progress,12/8/14,12/7/15,,241380,67109,67109,"DSF: 0000733730, 0000779019"
1838,6,M465,HS FOR HEALTH CAREER & SCIENCE,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/6/17,DOES,,DOES,170000,1731,DSF: 0000866012
1839,6,M528,I.S. 528 - MANHATTAN,SCA CIP RESOA,FY17 RESO A GYMNASIUM SUPGRADE,Scope,PNS,PNS,PNS,PNS,0,248,248,DSF: 0000844909
1840,6,M528,I.S. 528 - MANHATTAN,SCA CIP RESOA,FY17 RESO A GYMNASIUM SUPGRADE,Design,PNS,PNS,PNS,PNS,14100,13852,991,DSF: 0000844909
1841,6,M528,I.S. 528 - MANHATTAN,SCA CIP RESOA,FY17 RESO A GYMNASIUM SUPGRADE,Construction,PNS,PNS,PNS,PNS,206800,206800,0,DSF: 0000844909
1842,6,M528,I.S. 528 - MANHATTAN,SCA CIP RESOA,FY17 RESO A GYMNASIUM SUPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,14100,14100,0,DSF: 0000844909
1843,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS,Scope,Complete,1/18/13,6/5/13,1/15/14,973470,768358,767610,"DSF: 0000775750, 0000832675, 0000832677, 0000844100"
1844,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS,Design,Complete,5/23/16,3/30/17,2/28/17,3893880,849244,806697,"DSF: 0000775750, 0000832675, 0000832677, 0000844100"
1845,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS,Construction,In-Progress,8/14/17,8/12/22,,73010251,65681909,114799,"DSF: 0000775750, 0000832675, 0000832677, 0000844100"
1846,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS,"CM, F&E",In-Progress,8/14/17,8/12/22,,4542861,157235,157235,"DSF: 0000775750, 0000832675, 0000832677, 0000844100"
1847,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,ENY GREENHOUSE,Scope,Complete,1/24/17,5/9/17,4/21/17,29743,23765,23765,DSF: 0000865808
1848,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,ENY GREENHOUSE,Design,In-Progress,5/10/17,10/11/17,,109057,109057,41448,DSF: 0000865808
1849,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,ENY GREENHOUSE,Construction,PNS,PNS,PNS,PNS,1155012,1155012,22978,DSF: 0000865808
1850,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP,ENY GREENHOUSE,"CM, F&E",PNS,PNS,PNS,PNS,267685,267685,23144,DSF: 0000865808
1851,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867368
1852,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867368
1853,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,44000,44000,0,DSF: 0000867368
1854,6,M540,A. PHILIP RANDOLPH HS -MANHATT,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867368
1855,6,M812,"HIGH SCHOOL FOR MATHEMATICS, S",DIIT - RESOA,FY14 RESO A TECHNOLOGY,Purch & Install,Complete,11/4/16,11/26/16,10/10/17,135000,133988,133988,DSF: 0000798841
1856,6,M814,I.S. 346 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,9/25/17,10/25/17,11/2/17,35000,35000,34644,DSF: 0000845567
1857,6,M845,P.S. 98 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866364
1858,6,M845,P.S. 98 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,15000,15000,0,DSF: 0000866364
1859,6,M845,P.S. 98 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,220000,220000,0,DSF: 0000866364
1860,6,M845,P.S. 98 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,15000,15000,0,DSF: 0000866364
1861,6,M848,P.S. 325 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/6/17,DOES,,DOES,170000,884,DSF: 0000866014
1862,6,M859,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND UPGRADE,Scope,Complete,2/12/16,5/12/16,4/11/16,0,25247,25247,DSF: 0000843811
1863,6,M859,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND UPGRADE,Design,Complete,4/11/16,8/24/16,6/2/16,26939,39707,39707,DSF: 0000843811
1864,6,M859,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND UPGRADE,Construction,Complete,10/3/16,4/30/17,7/12/17,395109,341902,312148,DSF: 0000843811
1865,6,M859,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND UPGRADE,"CM, F&E",Complete,10/3/16,4/30/17,7/12/17,26939,40530,39932,DSF: 0000843811
1866,6,M876,GREGORIO LUPERON PREP. SCHOOL,SCA CIP,EXTERIOR MASONRY/FLASHING,Scope,Complete,5/6/15,9/21/15,9/21/15,16044,83746,56658,"DSF: 0000843957, 0000843958"
1867,6,M876,GREGORIO LUPERON PREP. SCHOOL,SCA CIP,EXTERIOR MASONRY/FLASHING,Design,Complete,2/22/16,7/21/16,6/22/16,58827,87352,84440,"DSF: 0000843957, 0000843958"
1868,6,M876,GREGORIO LUPERON PREP. SCHOOL,SCA CIP,EXTERIOR MASONRY/FLASHING,Construction,In-Progress,5/1/17,4/30/18,,623026,548034,2447,"DSF: 0000843957, 0000843958"
1869,6,M876,GREGORIO LUPERON PREP. SCHOOL,SCA CIP,EXTERIOR MASONRY/FLASHING,"CM, F&E",In-Progress,5/1/17,4/30/18,,144393,85777,46001,"DSF: 0000843957, 0000843958"
1870,6,M918,P.S./I.S. 278 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866393
1871,6,M918,P.S./I.S. 278 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866393
1872,6,M918,P.S./I.S. 278 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,110000,110000,0,DSF: 0000866393
1873,6,M918,P.S./I.S. 278 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866393
1874,7,X005,P.S. 5 - BRONX,SCA IEH,IEH PO18-ROOM 321,Construction,Complete,6/2/17,IEH,7/22/17,IEH,34193,4658,DSF: 0000047107
1875,7,X005,P.S. 5 - BRONX,SCA IEH,IEH PO18-2 STAIR CASE LANDINGS NEXT TO STAGE AND R,Construction,Complete,7/3/17,IEH,8/26/17,IEH,23209,3250,DSF: 0000047486
1876,7,X018,P.S. 18 - BRONX,SCA CIP RESOA,FY17 RESO A ELECTRICAL UPGRADE,Scope,Complete,9/14/17,11/14/17,10/17/17,0,504,504,DSF: 0000844860
1877,7,X018,P.S. 18 - BRONX,SCA CIP RESOA,FY17 RESO A ELECTRICAL UPGRADE,Design,PNS,PNS,PNS,PNS,24000,39119,2018,DSF: 0000844860
1878,7,X018,P.S. 18 - BRONX,SCA CIP RESOA,FY17 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,352000,581141,0,DSF: 0000844860
1879,7,X018,P.S. 18 - BRONX,SCA CIP RESOA,FY17 RESO A ELECTRICAL UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,24000,39623,0,DSF: 0000844860
